"qty_biological_replicates","proportion_of_DEGs","dispersion_class","before_preprocessing","after_preprocessing","percentage_of_reduction"
2,10,"Overdispersion",94.5446948528452,36.2468336249445,62
2,10,"Equidispersion",5.45530514715483,0.31076175802366,94
3,10,"Overdispersion",99.3314705037474,40.3859713263521,59
3,10,"Equidispersion",0.668529496252579,0.00783433003420991,99
4,10,"Overdispersion",99.8380905126263,42.6997101297887,57
4,10,"Equidispersion",0.161909487373671,0,100
5,10,"Overdispersion",99.9007651529,39.4850233724179,60
5,10,"Equidispersion",0.0992348470999922,0,100
6,10,"Overdispersion",99.9738855665526,38.5240122215549,61
6,10,"Equidispersion",0.0261144334473664,0,100
7,10,"Overdispersion",99.9921656699658,37.9965006659181,62
7,10,"Equidispersion",0.00783433003420991,0,100
8,10,"Overdispersion",100,37.808476745097,62
8,10,"Equidispersion",0,0,NA
9,10,"Overdispersion",100,37.8345911785444,62
9,10,"Equidispersion",0,0,NA
10,10,"Overdispersion",100,37.9364374689891,62
10,10,"Equidispersion",0,0,NA
15,10,"Overdispersion",100,37.2365706525997,63
15,10,"Equidispersion",0,0,NA
2,10,"Overdispersion",95.3124591961977,34.0140495651947,64
2,10,"Equidispersion",4.68754080380226,0.138406497271042,97
3,10,"Overdispersion",99.1878411197869,40.4512574099705,59
3,10,"Equidispersion",0.812158880213094,0,100
4,10,"Overdispersion",99.7701929856632,59.553965476719,40
4,10,"Equidispersion",0.229807014336824,0,100
5,10,"Overdispersion",99.9164338129684,72.9167210717363,27
5,10,"Equidispersion",0.0835661870315724,0,100
6,10,"Overdispersion",99.9712741232079,81.8687488574935,18
6,10,"Equidispersion",0.028725876792103,0,100
7,10,"Overdispersion",99.9973885566553,86.5092836810905,13
7,10,"Equidispersion",0.00261144334473664,0,100
8,10,"Overdispersion",100,89.1311727992061,11
8,10,"Equidispersion",0,0,NA
9,10,"Overdispersion",100,90.6092497323271,9
9,10,"Equidispersion",0,0,NA
10,10,"Overdispersion",100,91.8026793408717,8
10,10,"Equidispersion",0,0,NA
15,10,"Overdispersion",100,94.9390227979004,5
15,10,"Equidispersion",0,0,NA
2,10,"Overdispersion",95.2053900190635,30.3293030057713,68
2,10,"Equidispersion",4.79460998093646,0.0992348470999922,98
3,10,"Overdispersion",99.0938291593764,37.6961846812733,62
3,10,"Equidispersion",0.906170840623613,0,100
4,10,"Overdispersion",99.7832502023869,58.2430209176612,42
4,10,"Equidispersion",0.216749797613141,0,100
5,10,"Overdispersion",99.9373253597263,75.1782310082783,25
5,10,"Equidispersion",0.0626746402736793,0,100
6,10,"Overdispersion",99.9817198965868,87.2195962708589,13
6,10,"Equidispersion",0.0182801034131565,0,100
7,10,"Overdispersion",99.9947771133105,93.7455931893558,6
7,10,"Equidispersion",0.00522288668947327,0,100
8,10,"Overdispersion",100,96.8897709764187,3
8,10,"Equidispersion",0,0,NA
9,10,"Overdispersion",100,98.3547906928159,2
9,10,"Equidispersion",0,0,NA
10,10,"Overdispersion",100,99.2087326665448,1
10,10,"Equidispersion",0,0,NA
15,10,"Overdispersion",100,99.8981537095553,0
15,10,"Equidispersion",0,0,NA
2,10,"Overdispersion",95.2706761026819,27.9189407985794,71
2,10,"Equidispersion",4.72932389731805,0.0652860836184159,99
3,10,"Overdispersion",98.9162510119343,35.2962682474604,64
3,10,"Equidispersion",1.0837489880657,0,100
4,10,"Overdispersion",99.7728044290079,56.8772360483639,43
4,10,"Equidispersion",0.227195570992087,0,100
5,10,"Overdispersion",99.9529940197947,74.5540960488862,25
5,10,"Equidispersion",0.0470059802052594,0,100
6,10,"Overdispersion",99.9764970098974,87.0420181234168,13
6,10,"Equidispersion",0.0235029901026297,0,100
7,10,"Overdispersion",100,93.8761653565926,6
7,10,"Equidispersion",0,0,NA
8,10,"Overdispersion",100,97.4460084088476,3
8,10,"Equidispersion",0,0,NA
9,10,"Overdispersion",100,98.830073381558,1
9,10,"Equidispersion",0,0,NA
10,10,"Overdispersion",100,99.5586660747395,0
10,10,"Equidispersion",0,0,NA
15,10,"Overdispersion",100,99.9817198965868,0
15,10,"Equidispersion",0,0,NA
2,10,"Overdispersion",95.2341158958556,25.6287049852453,73
2,10,"Equidispersion",4.76588410414436,0.0470059802052594,99
3,10,"Overdispersion",98.9737027655185,33.2567309952211,66
3,10,"Equidispersion",1.0262972344815,0,100
4,10,"Overdispersion",99.7440785522158,55.2711983913509,45
4,10,"Equidispersion",0.25592144778419,0,100
5,10,"Overdispersion",99.9347139163816,74.5410388321625,25
5,10,"Equidispersion",0.0652860836184159,0,100
6,10,"Overdispersion",99.9921656699658,86.8931658527668,13
6,10,"Equidispersion",0.00783433003420991,0,100
7,10,"Overdispersion",99.9895542266211,93.9205598934531,6
7,10,"Equidispersion",0.0104457733789465,0,100
8,10,"Overdispersion",99.9973885566553,97.3337163450239,3
8,10,"Equidispersion",0.00261144334473664,0,100
9,10,"Overdispersion",100,98.9658684354843,1
9,10,"Equidispersion",0,0,NA
10,10,"Overdispersion",100,99.6422322617711,0
10,10,"Equidispersion",0,0,NA
15,10,"Overdispersion",100,99.9973885566553,0
15,10,"Equidispersion",0,0,NA
2,10,"Overdispersion",95.2027785757188,21.5000130572167,77
2,10,"Equidispersion",4.7972214242812,0.028725876792103,99
3,10,"Overdispersion",99.0102629723448,29.3291202047372,70
3,10,"Equidispersion",0.989737027655185,0,100
4,10,"Overdispersion",99.7806387590421,53.5972632073747,46
4,10,"Equidispersion",0.219361240957877,0,100
5,10,"Overdispersion",99.9399368030711,73.3867808737889,27
5,10,"Equidispersion",0.0600631969289426,0,100
6,10,"Overdispersion",99.9869427832763,86.6868618285326,13
6,10,"Equidispersion",0.0130572167236832,0,100
7,10,"Overdispersion",99.9921656699658,93.7351474159768,6
7,10,"Equidispersion",0.00783433003420991,0,100
8,10,"Overdispersion",99.9973885566553,97.5139059358107,2
8,10,"Equidispersion",0.00261144334473664,0,100
9,10,"Overdispersion",100,99.0128744156896,1
9,10,"Equidispersion",0,0,NA
10,10,"Overdispersion",100,99.5795576214974,0
10,10,"Equidispersion",0,0,NA
15,10,"Overdispersion",100,100,0
15,10,"Equidispersion",0,0,NA
2,10,"Overdispersion",95.1322696054109,18.1312511425065,81
2,10,"Equidispersion",4.86773039458909,0.0182801034131565,100
3,10,"Overdispersion",98.9084166819001,26.1353249941243,74
3,10,"Equidispersion",1.09158331809991,0,100
4,10,"Overdispersion",99.7754158723527,51.4558796646907,48
4,10,"Equidispersion",0.224584127647351,0,100
5,10,"Overdispersion",99.9425482464158,72.3683179693417,28
5,10,"Equidispersion",0.057451753584206,0,100
6,10,"Overdispersion",99.9921656699658,86.2141905831353,14
6,10,"Equidispersion",0.00783433003420991,0,100
7,10,"Overdispersion",100,93.7011986524952,6
7,10,"Equidispersion",0,0,NA
8,10,"Overdispersion",99.9973885566553,97.4773457289844,3
8,10,"Equidispersion",0.00261144334473664,0,100
9,10,"Overdispersion",100,98.918862455279,1
9,10,"Equidispersion",0,0,NA
10,10,"Overdispersion",100,99.6291750450474,0
10,10,"Equidispersion",0,0,NA
15,10,"Overdispersion",100,100,0
15,10,"Equidispersion",0,0,NA
