"qty_biological_replicates","dispersion_value","proportion_of_DEGs","contains_preprocessing"
2,0.463943541109645,10,"no"
3,0.457955663898451,10,"no"
4,0.468450311572112,10,"no"
5,0.464605277279129,10,"no"
6,0.463368429250038,10,"no"
7,0.462561536547899,10,"no"
8,0.468772274069678,10,"no"
9,0.46775911328852,10,"no"
10,0.467419571214675,10,"no"
15,0.471350865367435,10,"no"
2,0.312330738778005,10,"yes"
3,0.314445178406339,10,"yes"
4,0.310401302666105,10,"yes"
5,0.309419764459335,10,"yes"
6,0.305458179665865,10,"yes"
7,0.304586413565626,10,"yes"
8,0.306004390877239,10,"yes"
9,0.303495784211351,10,"yes"
10,0.302024160672132,10,"yes"
15,0.302371930369076,10,"yes"
2,0.480584092327309,20,"no"
3,0.493115285078723,20,"no"
4,0.502920078957234,20,"no"
5,0.504395830945135,20,"no"
6,0.503414327129186,20,"no"
7,0.500734376621111,20,"no"
8,0.508162081050282,20,"no"
9,0.507285934726393,20,"no"
10,0.507899858108904,20,"no"
15,0.513137411994586,20,"no"
2,0.307520826406006,20,"yes"
3,0.319671218352666,20,"yes"
4,0.315346388700419,20,"yes"
5,0.317241021694253,20,"yes"
6,0.312097636167924,20,"yes"
7,0.309249789818101,20,"yes"
8,0.310651779868293,20,"yes"
9,0.309511117271979,20,"yes"
10,0.3077290803252,20,"yes"
15,0.305008594488084,20,"yes"
2,0.567748985032303,30,"no"
3,0.571595381219533,30,"no"
4,0.581708089202001,30,"no"
5,0.58744879622259,30,"no"
6,0.586733431436236,30,"no"
7,0.594461797778372,30,"no"
8,0.598330390713465,30,"no"
9,0.60257244507541,30,"no"
10,0.600960616373983,30,"no"
15,0.614989333584302,30,"no"
2,0.324844792754663,30,"yes"
3,0.337108606864588,30,"yes"
4,0.343827809246817,30,"yes"
5,0.338431499524314,30,"yes"
6,0.334390725817171,30,"yes"
7,0.334187265431131,30,"yes"
8,0.332967734068088,30,"yes"
9,0.333320091553474,30,"yes"
10,0.334842476281924,30,"yes"
15,0.330143542398732,30,"yes"
