"qty_biological_replicates","tool","accuracy","precision","recall","specificity"
2,"glm-BON",0.955892721907398,0.781430825881115,0.775920605902324,0.975887883008356
2,"DESeq2",0.991565037996501,1,0.91564377121964,1
2,"edgeR",0.983809051262633,0.999377528789294,0.838600156698877,0.999941968430826
3,"glm-BON",0.969968401535529,0.883481248210707,0.805954557325672,0.988190575673166
3,"DESeq2",0.995560546313948,0.9908773812718,0.964481587881953,0.999013463324048
3,"edgeR",0.991042749327553,0.995170454545454,0.914860276834683,0.999506731662024
4,"glm-BON",0.973467735617476,0.901971991997714,0.824236092974667,0.990047585886722
4,"DESeq2",0.992844645235422,0.950570342205323,0.979367981196135,0.994341922005571
4,"edgeR",0.99315801843679,0.986895986895987,0.944110733873074,0.998607242339833
5,"glm-BON",0.97649700989737,0.91475502690456,0.843562287803604,0.991266248839369
5,"DESeq2",0.98730838534458,0.896936594633104,0.986419430660747,0.987407149489322
5,"edgeR",0.993601963805395,0.967885117493473,0.968137895011752,0.996431058495822
6,"glm-BON",0.975347974825686,0.90147509045366,0.845912770958475,0.989728412256267
6,"DESeq2",0.983574021361607,0.862976406533575,0.993470880125359,0.982474466109564
6,"edgeR",0.992531272034053,0.946784363177806,0.980412640376077,0.993877669452182
7,"glm-BON",0.97401613871987,0.875463698993111,0.862888482632541,0.986362581244197
7,"DESeq2",0.977854960436633,0.821159232923939,0.995299033690259,0.975916898792943
7,"edgeR",0.990416002924817,0.922607421875,0.986941760250718,0.99080199628598
8,"glm-BON",0.973206591283002,0.86093226886428,0.873073909636981,0.98433147632312
8,"DESeq2",0.97312824798266,0.788898060255881,0.998433011230086,0.970316852367688
8,"edgeR",0.986968897709764,0.888836992059785,0.99399320971533,0.986188486536676
9,"glm-BON",0.973441621184028,0.851851851851852,0.889004962131105,0.982822655524605
9,"DESeq2",0.966965241689082,0.751965408805031,0.999216505615043,0.963382079851439
9,"edgeR",0.983547906928159,0.86311010215664,0.992948550535388,0.98250348189415
10,"glm-BON",0.971665839709608,0.836109750122489,0.891355445285975,0.980588440111421
10,"DESeq2",0.959836001357951,0.71391223155929,0.998433011230086,0.955547818012999
10,"edgeR",0.980440289347923,0.839356544733363,0.994776704100287,0.978847493036212
15,"glm-BON",0.960645548794819,0.744627054361568,0.922956385479237,0.96483286908078
15,"DESeq2",0.936176324654637,0.610393750996334,1,0.929085422469824
15,"edgeR",0.960541091061029,0.717366841710428,0.998955340820057,0.956273212627669
2,"glm-BH",0.938839996866268,0.64490352757747,0.864194306607469,0.947133240482823
3,"glm-BH",0.960306061160003,0.755025403136735,0.892661269260904,0.967821494893222
4,"glm-BH",0.957877418849398,0.738177128116939,0.896839905980674,0.964658774373259
5,"glm-BH",0.957981876583188,0.732606873428332,0.913032123269783,0.962975858867224
6,"glm-BH",0.953333507429556,0.70642943792964,0.912509793679812,0.957869080779944
7,"glm-BH",0.945499177395346,0.664339622641509,0.919561243144424,0.948380919220056
8,"glm-BH",0.940250176272426,0.63930573133249,0.923478715069209,0.942113509749304
9,"glm-BH",0.939205598934531,0.634233589697728,0.926090363019065,0.940662720519963
10,"glm-BH",0.932859791606821,0.60774237752655,0.926612692609036,0.933553853296193
15,"glm-BH",0.904525631316429,0.512288677368944,0.941760250718203,0.900388811513463
2,"glm-BON",0.929934975060716,0.940198159943383,0.69382425904165,0.988966507801789
2,"DESeq2",0.976967069699423,0.998969223972905,0.885755320537929,0.999771495723706
2,"edgeR",0.957250672446661,0.999005634736493,0.7870479174827,0.999804139191748
3,"glm-BON",0.941634241245136,0.972968259504709,0.728424076250163,0.994940262453483
3,"DESeq2",0.987386728644922,0.985915492957746,0.950515733124429,0.996605079323627
3,"edgeR",0.972710417047502,0.991089991089991,0.871393132262697,0.998041391917477
4,"glm-BON",0.944036769122294,0.975681269403243,0.738608173390782,0.995397271006072
4,"DESeq2",0.986838325542527,0.963106796116505,0.971406188797493,0.990696611608017
4,"edgeR",0.979395712010028,0.984895539243365,0.910954432693563,0.996507148919501
5,"glm-BON",0.941529783511347,0.971468336812804,0.729076902989946,0.994646471241105
5,"DESeq2",0.984122424464001,0.953207353130222,0.968142055098577,0.988117777632696
5,"edgeR",0.978847308907633,0.974373181881147,0.918396657527092,0.993960958412222
6,"glm-BON",0.947379416603557,0.970176607797401,0.760282021151586,0.994156819220474
6,"DESeq2",0.982398871856475,0.934012675531254,0.981329155242199,0.982666318469674
6,"edgeR",0.98007468727966,0.955482166446499,0.944379161770466,0.988999151269831
7,"glm-BON",0.950043088815188,0.97113807805838,0.773207990599295,0.9942547496246
7,"DESeq2",0.980414174914475,0.923501287237955,0.983548766157462,0.979630475941764
7,"edgeR",0.980858120283081,0.954939569101419,0.949079514296906,0.988803290461579
8,"glm-BON",0.953020134228188,0.96656050955414,0.79253166209688,0.993144871711171
8,"edgeR",0.981145379051002,0.9457653257936,0.960830395613004,0.986224456486257
9,"glm-BON",0.952132243490977,0.966677347004165,0.78783130957044,0.993210158647255
9,"DESeq2",0.976340323296686,0.90297171500179,0.987857422640031,0.973460860481818
9,"edgeR",0.979813542945186,0.940506653019447,0.959785872829351,0.984820787360449
10,"glm-BON",0.957746846682161,0.965767154973015,0.817730774252513,0.992753150094666
10,"DESeq2",0.974355626354686,0.892164924233525,0.991643817730774,0.970033296337403
10,"edgeR",0.980988692450317,0.935966788275255,0.971406188797493,0.983384474766599
15,"glm-BON",0.95756404564803,0.936361006653167,0.845280062671367,0.9856368740615
15,"DESeq2",0.963204763272661,0.845992028343667,0.99764982373678,0.954592935953516
15,"edgeR",0.970595147938266,0.882628558041467,0.983809896853375,0.967291245021871
8,"DESeq2",0.977854960436633,0.908284378371898,0.989163076119598,0.975027746947836
2,"glm-BH",0.942313216514768,0.890513040985956,0.811333072202637,0.975060390415878
3,"glm-BH",0.954717572402267,0.923880383459722,0.843060451756104,0.982633675001632
4,"glm-BH",0.957485702347688,0.927791176053341,0.853897375636506,0.983384474766599
5,"glm-BH",0.951897213589951,0.912260807937633,0.840318579449014,0.979793693281974
6,"glm-BH",0.955501005405688,0.906041183690168,0.867476171823998,0.977508650519031
7,"glm-BH",0.95497871673674,0.903028656797501,0.868128998563781,0.97669256381798
8,"glm-BH",0.954038597132635,0.891647855530474,0.87674631152892,0.973362930077691
9,"glm-BH",0.95349019403024,0.887935586061246,0.8783130957044,0.972285695632304
10,"glm-BH",0.956153866241872,0.887707468879668,0.893850372111242,0.971730756675589
15,"glm-BH",0.948032277439741,0.84588163514338,0.905078992035514,0.958771299862897
3,"glm-BON",0.908703940668007,1,0.695682451253482,1
3,"DESeq2",0.97124800877445,0.9996151996152,0.904509052924791,0.999850774109308
3,"edgeR",0.91254276238477,1,0.708478412256267,1
4,"glm-BON",0.911498185046875,1,0.70499651810585,1
4,"DESeq2",0.975086830491212,1,0.916956824512535,1
4,"edgeR",0.924790431671585,1,0.749303621169916,1
5,"glm-BON",0.919280286214191,1,0.730936629526462,1
5,"DESeq2",0.983861280129528,0.999908020603385,0.946291782729805,0.999962693527327
5,"edgeR",0.940589663907242,0.998916928408968,0.802837743732591,0.99962693527327
6,"glm-BON",0.925808894576032,1,0.752698467966574,1
6,"DESeq2",0.990337659624474,0.999820176227297,0.967966573816156,0.999925387054654
6,"edgeR",0.945003003159846,0.999361294443262,0.817200557103064,0.999776161163962
7,"glm-BON",0.929673830726242,1,0.76558147632312,1
7,"DESeq2",0.987256156477685,0.989498042007832,0.967792479108635,0.995597836224585
7,"edgeR",0.945238033060873,0.99893741366486,0.81833217270195,0.99962693527327
8,"glm-BON",0.933173164808189,1,0.77724582172702,1
8,"DESeq2",0.988901365784869,0.990077079826349,0.97275417827298,0.995821675060623
8,"edgeR",0.949181312511425,0.998537095088819,0.831824512534819,0.999477709382578
9,"glm-BON",0.934635573081242,1,0.782120473537604,1
9,"DESeq2",0.991016634894106,0.990406618553072,0.979543871866295,0.995933594478642
9,"edgeR",0.953229049695767,0.996416504556158,0.847144846796657,0.998694273456445
10,"glm-BON",0.940485206173452,1,0.801619080779944,1
10,"DESeq2",0.99216566996579,0.988900541863311,0.984940807799443,0.995262077970528
10,"edgeR",0.957903533282845,0.994096457874725,0.864815459610028,0.997798918112292
15,"glm-BON",0.94576032172982,1,0.819202646239554,1
15,"DESeq2",0.99166949573029,0.98379970544919,0.988509749303621,0.993023689610147
15,"edgeR",0.956728383777714,0.982716291858981,0.87108286908078,0.99343406080955
3,"glm-BH",0.947666675371478,1,0.825557103064067,1
4,"glm-BH",0.949311884678662,1,0.831041086350975,1
5,"glm-BH",0.955944950774293,1,0.853151114206128,1
6,"glm-BH",0.958843652886951,1,0.862813370473538,1
7,"glm-BH",0.961272295197556,1,0.870908774373259,1
8,"glm-BH",0.964876087013292,1,0.882921309192201,1
9,"glm-BH",0.963779280808503,1,0.879265320334262,1
10,"glm-BH",0.966234037552555,1,0.887447771587744,1
15,"glm-BH",0.968297077794897,1,0.894324512534819,1
