"","treat_rep1","treat_rep2","control_rep1","control_rep2"
"ENSMUSG00000000088",8791,9778,1016,781
"ENSMUSG00000000184",2058,1584,6975,8316
"ENSMUSG00000000740",28055,31814,48182,55444
"ENSMUSG00000000838",1889,2651,1432,2155
"ENSMUSG00000000881",33303,24295,3196,2914
"ENSMUSG00000001158",2815,3319,6718,6862
"ENSMUSG00000001493",0,0,0,0
"ENSMUSG00000001576",3789,4299,7344,13361
"ENSMUSG00000002010",24771,30368,76103,65974
"ENSMUSG00000002104",0,0,0,0
"ENSMUSG00000002147",8737,14442,36554,35004
"ENSMUSG00000002279",1955,3578,9963,10604
"ENSMUSG00000002588",50,91,5,12
"ENSMUSG00000002820",4393,5061,379,237
"ENSMUSG00000002845",1978,2594,527,238
"ENSMUSG00000002897",7937,8692,7786,8721
"ENSMUSG00000002900",441,398,1645,1554
"ENSMUSG00000002910",3263,2047,6105,7303
"ENSMUSG00000003199",7796,6012,19873,14206
"ENSMUSG00000003279",19599,23859,1893,3020
"ENSMUSG00000003308",8988,8853,1222,836
"ENSMUSG00000003423",8630,8021,22702,22062
"ENSMUSG00000003617",7158,7593,1780,561
"ENSMUSG00000004032",2962,2756,8009,9275
"ENSMUSG00000004383",1050,548,164,62
"ENSMUSG00000005610",31831,28698,108699,128419
"ENSMUSG00000005628",375,155,547,440
"ENSMUSG00000005763",277,220,575,605
"ENSMUSG00000006522",4867,3779,448,495
"ENSMUSG00000006711",0,0,0,0
"ENSMUSG00000006717",6342,1890,14297,14646
"ENSMUSG00000007415",4651,4393,308,347
"ENSMUSG00000007457",0,0,0,0
"ENSMUSG00000007476",2257,3045,5438,5948
"ENSMUSG00000008429",1,1,2,0
"ENSMUSG00000008855",27739,33714,3738,3822
"ENSMUSG00000009291",4703,3522,11477,9377
"ENSMUSG00000009646",9243,7066,937,1150
"ENSMUSG00000010406",2309,3433,483,379
"ENSMUSG00000010538",289,773,37,98
"ENSMUSG00000011154",13822,12739,32257,43639
"ENSMUSG00000013562",136,107,254,321
"ENSMUSG00000013584",75,12,6,1
"ENSMUSG00000015316",291,81,0,82
"ENSMUSG00000015484",1482,1170,1161,1197
"ENSMUSG00000016526",1759,1155,4313,3133
"ENSMUSG00000016664",4936,4329,7792,9537
"ENSMUSG00000017679",5705,3009,13544,16688
"ENSMUSG00000018076",12082,11650,48043,40497
"ENSMUSG00000018339",3263,4824,604,623
"ENSMUSG00000018377",2787,2049,1911,2138
"ENSMUSG00000018381",0,0,0,0
"ENSMUSG00000018537",724,661,1258,1739
"ENSMUSG00000018595",222,529,52,46
"ENSMUSG00000018654",1567820,1339957,1214773,1188685
"ENSMUSG00000018733",455,367,388,264
"ENSMUSG00000018750",1619,913,5973,3204
"ENSMUSG00000019082",959,1549,3264,5629
"ENSMUSG00000019478",5731,5940,1087,847
"ENSMUSG00000019505",15,12,11,6
"ENSMUSG00000019734",437,223,27,45
"ENSMUSG00000019790",6545,3910,17712,13168
"ENSMUSG00000019863",2966,1521,5656,3546
"ENSMUSG00000020077",31228,29474,107436,109707
"ENSMUSG00000020124",2740,2468,4779,6118
"ENSMUSG00000020135",58,43,5,4
"ENSMUSG00000020151",47,46,159,173
"ENSMUSG00000020581",737,377,50,57
"ENSMUSG00000020689",2397,2537,4482,5704
"ENSMUSG00000020709",3100,2182,448,288
"ENSMUSG00000020732",9,15,7,14
"ENSMUSG00000020733",14497,9173,46517,53271
