"qty_biological_replicates","proportion_of_DEGs","qty_total_genes","qty_genes_expressed_in_all_samples","qty_not_expressed_genes","qty_genes_expressed_in_some_samples","qty_genes_with_equal_expression_among_samples","qty_low_counting_genes","percent_of_DEGs_reduction"
2,10,38293,19216,14695,4382,549,5008,7.23426482110212
3,10,38293,18142,14221,3812,284,6318,7.18203186210499
4,10,38293,17500,13826,2617,129,7983,6.73805171062941
5,10,38293,17253,13447,2682,107,8263,6.2418386001567
6,10,38293,16906,13131,3031,46,8344,6.65970227213372
7,10,38293,16766,12707,3346,35,8541,6.5291198746409
8,10,38293,16708,12405,3538,41,8589,6.68581875163228
9,10,38293,16505,12057,3874,16,8618,6.63358579263515
10,10,38293,16429,11878,3947,15,8638,6.47688691564377
15,10,38293,16023,10321,5280,2,8877,5.61504309219117
2,20,38293,17391,16059,4843,693,5001,7.8861470165818
3,20,38293,16170,15545,4349,313,6247,6.55438046742395
4,20,38293,15412,15132,2958,182,8253,6.51521086303695
5,20,38293,15034,14693,3126,101,8538,6.75022848935892
6,20,38293,14775,14325,3427,68,8662,6.97218958088523
7,20,38293,14680,13957,3704,50,8764,6.73717195456326
8,20,38293,14405,13689,3880,39,8825,6.6849458153806
9,20,38293,14255,13234,4280,25,8931,6.56743700221961
10,20,38293,14158,12977,4565,17,8969,6.93301997649824
15,20,38293,13702,11416,5772,5,9256,6.73717195456326
2,30,38293,16602,16871,4820,834,5079,6.95508356545961
3,30,38293,15262,16478,4077,403,6511,5.77994428969359
4,30,38293,14604,16011,2661,273,8509,5.64937325905292
5,30,38293,14116,15720,2783,172,8788,5.72771587743733
6,30,38293,13834,15221,3121,105,9015,5.71901114206128
7,30,38293,13594,14945,3378,58,9084,5.74512534818941
8,30,38293,13378,14501,3751,52,9111,5.30988857938719
9,30,38293,13315,14087,4074,32,9262,5.65807799442897
10,30,38293,13091,13883,4249,22,9264,5.33600278551532
15,30,38293,12595,12107,5890,5,9454,5.66678272980501
