"qty_biological_replicates","proportion_of_DEGs","dispersion_class","before_preprocessing","after_preprocessing","percentage_of_reduction"
2,10,"Overdispersion",52.4351709189669,35.1630846368788,33
2,10,"Equidispersion",47.5648290810331,0.506620008878907,99
3,10,"Overdispersion",55.8901104640535,35.6488130989998,36
3,10,"Equidispersion",44.1098895359465,0.0182801034131565,100
4,10,"Overdispersion",58.0784999869428,35.8760086699919,38
4,10,"Equidispersion",41.9215000130572,0,100
5,10,"Overdispersion",59.4599535163085,36.0222494972972,39
5,10,"Equidispersion",40.5400464836915,0,100
6,10,"Overdispersion",60.6403259081294,35.8838430000261,41
6,10,"Equidispersion",39.3596740918706,0,100
7,10,"Overdispersion",61.2957981876583,35.6827618624814,42
7,10,"Equidispersion",38.7042018123417,0,100
8,10,"Overdispersion",62.766040790745,35.8290026897866,43
8,10,"Equidispersion",37.233959209255,0,100
9,10,"Overdispersion",63.6748230747134,35.8498942365445,44
9,10,"Equidispersion",36.3251769252866,0,100
10,10,"Overdispersion",64.0482594730107,36.0770898075366,44
10,10,"Equidispersion",35.9517405269893,0,100
15,10,"Overdispersion",66.9913561225289,36.0718669208471,46
15,10,"Equidispersion",33.0086438774711,0,100
2,20,"Overdispersion",47.3898623769357,30.1256104248818,36
2,20,"Equidispersion",52.6101376230643,0.420442378502598,99
3,20,"Overdispersion",51.6882981223722,30.9038205416133,40
3,20,"Equidispersion",48.3117018776278,0.0182801034131565,100
4,20,"Overdispersion",53.8270702217115,30.7314652808607,43
4,20,"Equidispersion",46.1729297782885,0.00261144334473664,100
5,20,"Overdispersion",55.5192855091009,30.9116548716476,44
5,20,"Equidispersion",44.4807144908991,0,100
6,20,"Overdispersion",56.9294649152587,30.8463687880291,46
6,20,"Equidispersion",43.0705350847413,0,100
7,20,"Overdispersion",57.7546810121954,30.8620374480976,47
7,20,"Equidispersion",42.2453189878046,0,100
8,20,"Overdispersion",58.5590055623743,30.9717180685765,47
8,20,"Equidispersion",41.4409944376257,0,100
9,20,"Overdispersion",59.5200167132374,30.8724832214765,48
9,20,"Equidispersion",40.4799832867626,0,100
10,20,"Overdispersion",60.0605854855979,30.7262423941713,49
10,20,"Equidispersion",39.9394145144021,0,100
15,20,"Overdispersion",63.8419554487765,30.9325464184055,52
15,20,"Equidispersion",36.1580445512235,0,100
2,30,"Overdispersion",46.0371347243622,27.4593267699057,40
2,30,"Equidispersion",53.9628652756378,0.451779698639438,99
3,30,"Overdispersion",50.1083748988066,28.2479826600162,44
3,30,"Equidispersion",49.8916251011934,0.0261144334473664,100
4,30,"Overdispersion",52.176638027838,28.2976000835662,46
4,30,"Equidispersion",47.823361972162,0.00783433003420991,100
5,30,"Overdispersion",53.9158592954326,28.279319980153,48
5,30,"Equidispersion",46.0841407045674,0.00261144334473664,100
6,30,"Overdispersion",55.2450839579035,28.2871543101872,49
6,30,"Equidispersion",44.7549160420965,0,100
7,30,"Overdispersion",56.1460319118377,28.2767085368083,50
7,30,"Equidispersion",43.8539680881623,0,100
8,30,"Overdispersion",57.302901313556,28.4072807040451,50
8,30,"Equidispersion",42.697098686444,0,100
9,30,"Overdispersion",58.0941686470112,28.3028229702557,51
9,30,"Equidispersion",41.9058313529888,0,100
10,30,"Overdispersion",58.621680202648,28.3994463740109,52
10,30,"Equidispersion",41.378319797352,0,100
15,30,"Overdispersion",62.478782022824,28.3028229702557,55
15,30,"Equidispersion",37.521217977176,0,100
