"qty_biological_replicates","tool","accuracy","precision","recall","specificity","SDND"
3,"DEGRE-BON",10,0.908155537565613,0.536228518346493,0.603029511621833,0.94205547818013
2,"DEGRE-BON",10,0.900660695166218,0.503012774162449,0.545050927135022,0.940169452181987
4,"DEGRE-BON",10,0.906014154022929,0.52619589977221,0.603290676416819,0.939647168059424
5,"DEGRE-BON",10,0.904917347818139,0.521619135234591,0.592321755027422,0.939647168059424
6,"DEGRE-BON",10,0.904447288016087,0.519075403949731,0.604074170801776,0.937819173630455
7,"DEGRE-BON",10,0.900373436398297,0.501519756838906,0.603290676416819,0.933379758588672
8,"DEGRE-BON",10,0.896612957981877,0.485894097222222,0.584747975972839,0.931261606313835
9,"DEGRE-BON",10,0.89449768887264,0.477605603905753,0.587620788717681,0.928592154131848
10,"DEGRE-BON",10,0.891494529026193,0.466516023007395,0.593105249412379,0.924646007428041
15,"DEGRE-BON",10,0.878567884469746,0.423457020324445,0.593105249412379,0.910283194057567
2,"DEGRE-BH",10,0.871308071971379,0.412486064659978,0.676416819012797,0.892960770659239
3,"DEGRE-BH",10,0.882850651555115,0.445693503058357,0.704100287281274,0.902710074280409
4,"DEGRE-BH",10,0.876922675162562,0.430915911222257,0.720031339775398,0.894353528319406
5,"DEGRE-BH",10,0.872770480244431,0.42187265917603,0.735440062679551,0.88802808727948
6,"DEGRE-BH",10,0.868435484292168,0.414461582000849,0.764951684512928,0.879932683379759
7,"DEGRE-BH",10,0.860026636722116,0.397756110591692,0.777748759467224,0.86916782729805
8,"DEGRE-BH",10,0.855299924268143,0.388860036354194,0.78218856098198,0.863422701949861
9,"DEGRE-BH",10,0.851121614916564,0.381877839475013,0.790284669626534,0.857880687093779
10,"DEGRE-BH",10,0.841328702373802,0.365882774262863,0.800470096630974,0.845868152274837
15,"DEGRE-BH",10,0.823283628861672,0.343556975505857,0.842517628623662,0.821146703806871
2,"DESeq2",10,0.925756665709137,0.605072463768116,0.74144685296422,0.946233751160631
3,"DESeq2",10,0.942992191784399,0.700438382854359,0.751109950378689,0.964310584958217
4,"DESeq2",10,0.951871099156504,0.749246987951807,0.779576913032123,0.971013231197772
5,"DESeq2",10,0.951374924921004,0.7381932671349,0.796030295116218,0.968633936861653
6,"DESeq2",10,0.958347478651451,0.781077000503271,0.810655523635414,0.974756267409471
7,"DESeq2",10,0.962238529235108,0.804031640724675,0.822930268999739,0.977715877437326
8,"DESeq2",10,0.96132452406445,0.790594059405941,0.834160355184121,0.975452646239554
9,"DESeq2",10,0.959836001357951,0.768204167642238,0.856881692347871,0.971274373259053
10,"DESeq2",10,0.956623926043924,0.741640659830584,0.868895272917211,0.966370705663881
15,"DESeq2",10,0.935627921552242,0.623238164076617,0.900757377905458,0.93950208913649
2,"edgeR",10,0.967905361293187,0.999231950844854,0.679550796552625,0.999941968430826
3,"edgeR",10,0.972449272713029,0.983275261324042,0.737007051449465,0.998607242339833
4,"edgeR",10,0.975478546992923,0.97346002621232,0.775920605902324,0.997649721448468
5,"edgeR",10,0.976549238764265,0.976275593110172,0.78453904413685,0.997881847725163
6,"edgeR",10,0.976705925364949,0.96251968503937,0.798119613476103,0.996547121634169
7,"edgeR",10,0.976026950095318,0.94715821812596,0.805171062940716,0.995009285051068
8,"edgeR",10,0.975165173791555,0.941953316953317,0.800992426220945,0.994516016713092
9,"edgeR",10,0.975765805760844,0.930798930798931,0.818490467484983,0.993239322191272
10,"edgeR",10,0.974695113989502,0.90950744558992,0.82945938887438,0.990831012070566
15,"edgeR",10,0.966547410753924,0.815502724120852,0.860015669887699,0.978383240482823
3,"DEGRE-BON",10,0.905648551954665,0.530892448512586,0.48472185949334,0.952414113277623
2,"DEGRE-BON",10,0.899537774527982,0.497443181818182,0.457299556019849,0.948671077065924
4,"DEGRE-BON",10,0.894706604340219,0.467478372316565,0.381039435884043,0.951775766016713
5,"DEGRE-BON",10,0.891572872326535,0.446184605131623,0.349699660485767,0.951775766016713
6,"DEGRE-BON",10,0.885409866032956,0.403052375997225,0.303473491773309,0.950063834726091
7,"DEGRE-BON",10,0.883477397957851,0.393326592517695,0.304779315748237,0.947771587743733
8,"DEGRE-BON",10,0.879690805107983,0.376035691523263,0.30817445808305,0.943187093779016
9,"DEGRE-BON",10,0.875799754524326,0.358126721763085,0.305562810133194,0.939153899721448
10,"DEGRE-BON",10,0.872430992609615,0.345523698069046,0.308435622878036,0.935091689879294
15,"DEGRE-BON",10,0.860992870759669,0.303006329113924,0.300078349438496,0.923311281337047
2,"DEGRE-BH",10,0.868905544094221,0.393260440939236,0.572995560198485,0.901781569173631
3,"DEGRE-BH",10,0.884078029927141,0.439747135519557,0.581352833638026,0.917711234911792
4,"DEGRE-BH",10,0.870054579165905,0.378056559642781,0.464351005484461,0.915128830083565
5,"DEGRE-BH",10,0.864204946073695,0.355288157061431,0.439540349960825,0.911385793871866
6,"DEGRE-BH",10,0.857441307810827,0.326816829579261,0.401671454687908,0.908077994428969
7,"DEGRE-BH",10,0.84610764369467,0.301079414032382,0.407939409767563,0.894788765088208
8,"DEGRE-BH",10,0.842190478677565,0.294161398289327,0.413162705667276,0.889856081708449
9,"DEGRE-BH",10,0.837803253858408,0.282266910420475,0.403238443457822,0.886084029712163
10,"DEGRE-BH",10,0.830125610424882,0.273604060913706,0.422303473491773,0.875435236768802
15,"DEGRE-BH",10,0.815005353458857,0.251867662753469,0.431444241316271,0.857619545032498
2,"DESeq2",10,0.834486720810592,0.336034505293426,0.67145468790807,0.852599814298979
3,"DESeq2",10,0.898205938422166,0.493123380506279,0.646121702794463,0.926212859795729
4,"DESeq2",10,0.915101976862612,0.566836262719704,0.640114912509794,0.945653435468895
5,"DESeq2",10,0.924685973937795,0.6168108776267,0.651606163489162,0.955025533890436
6,"DESeq2",10,0.938578852531794,0.700515883790388,0.673805171062941,0.967995589600743
7,"DESeq2",10,0.949703601180372,0.761042524005487,0.724471141290154,0.974727251624884
8,"DESeq2",10,0.945446948528452,0.729915433403805,0.721337163750326,0.970345868152275
9,"DESeq2",10,0.944245684589873,0.712174348697395,0.742491512144163,0.966660863509749
10,"DESeq2",10,0.940537435040347,0.681139122315593,0.762078871768086,0.96036443825441
15,"DESeq2",10,0.928289765753532,0.608669476219145,0.792112823191434,0.94341922005571
2,"edgeR",10,0.946700441333925,0.998883928571429,0.467484983024288,0.999941968430826
3,"edgeR",10,0.955814378607056,0.993533487297921,0.561765474014103,0.999593779015785
4,"edgeR",10,0.960619434361372,0.982536382536383,0.617132410551058,0.998781337047354
5,"edgeR",10,0.96281304677095,0.96662786185487,0.650561504309219,0.997504642525534
6,"edgeR",10,0.96479774371295,0.959955506117909,0.676155654217811,0.996866295264624
7,"edgeR",10,0.965555062282924,0.956363636363636,0.686863410812222,0.996518105849582
8,"edgeR",10,0.964928315880187,0.955979457079971,0.680595455732567,0.996518105849582
9,"edgeR",10,0.966260151986003,0.951584193663225,0.698093496996605,0.996053853296193
10,"edgeR",10,0.968558222129371,0.952118498105408,0.721859493340298,0.995966805942433
15,"edgeR",10,0.964092654009871,0.876842751842752,0.745625489683991,0.988364670380687
3,"DEGRE-BON",10,0.904029457080929,0.528667163067759,0.370854008879603,0.963266016713092
2,"DEGRE-BON",10,0.900007834330034,0.5,0.39018020370854,0.956650417827298
4,"DEGRE-BON",10,0.892460763063745,0.437956204379562,0.266388090885349,0.962018337975859
5,"DEGRE-BON",10,0.89013657848693,0.414246823956443,0.238443457821886,0.962540622098422
6,"DEGRE-BON",10,0.887499020708746,0.388656438865644,0.218333768607992,0.961844243268338
7,"DEGRE-BON",10,0.882720079387878,0.357817869415808,0.217550274223035,0.956621402042711
8,"DEGRE-BON",10,0.879403546340062,0.341756919374248,0.222512405327762,0.952385097493036
9,"DEGRE-BON",10,0.876635416394641,0.330428192497158,0.227735701227475,0.948729108635098
10,"DEGRE-BON",10,0.875825868957773,0.332246376811594,0.239488117001828,0.9465239090065
15,"DEGRE-BON",10,0.870237380200037,0.300280308339173,0.22381822930269,0.94205547818013
2,"DEGRE-BH",10,0.872848823544773,0.393179950698439,0.499869417602507,0.914287372330548
3,"DEGRE-BH",10,0.884861462930562,0.427427427427427,0.446069469835466,0.933611884865367
4,"DEGRE-BH",10,0.873344997780273,0.359637063513885,0.341603551841212,0.932422237697307
5,"DEGRE-BH",10,0.87049852453451,0.338016055045872,0.307913293288065,0.933002553389044
6,"DEGRE-BH",10,0.863943801739221,0.30652843933875,0.285714285714286,0.928185933147632
7,"DEGRE-BH",10,0.855247695401248,0.287239324726912,0.302167667798381,0.916695682451253
8,"DEGRE-BH",10,0.848379599404591,0.270276551243319,0.303734656568295,0.9088904363974
9,"DEGRE-BH",10,0.844540777687828,0.261455525606469,0.30399582136328,0.904596100278552
10,"DEGRE-BH",10,0.842660538479618,0.267076792532881,0.328806476886916,0.899750464252553
15,"DEGRE-BH",10,0.833180999138224,0.246181313231502,0.324105510577174,0.889740018570102
2,"DESeq2",10,0.699135612252892,0.0943893693313647,0.233742491512144,0.750841457753018
3,"DESeq2",10,0.811532133810357,0.132537960954447,0.159571689736224,0.883965877437326
