"qty_biological_replicates","proportion_of_DEGs","qty_total_genes","qty_genes_expressed_in_all_samples","qty_not_expressed_genes","qty_genes_expressed_in_some_samples","qty_genes_with_equal_expression_among_samples","qty_low_counting_genes","SDND","percent_of_DEGs_reduction"
2,10,38293,14794,1330,22169,0,795,100,15.382606424654
3,10,38293,13436,194,20328,0,2303,100,7.73047793157482
4,10,38293,12696,54,13151,0,8737,100,4.59650039174719
5,10,38293,12218,34,9146,0,13993,100,4.72708278924001
6,10,38293,12084,8,4969,0,18564,100,4.77931574823714
7,10,38293,11896,3,2418,0,21322,100,4.62261687124576
8,10,38293,11780,0,937,0,22878,100,4.75319926873857
9,10,38293,11757,0,359,0,23446,100,4.5181509532515
10,10,38293,11828,0,131,0,23635,100,4.43980151475581
15,10,38293,11500,0,4,0,24030,100,4.02193784277879
2,10,38293,13095,1442,23756,0,17,300,27.709584747976
3,10,38293,11478,291,22480,0,32,300,17.0801775920606
4,10,38293,10833,78,15068,0,342,300,6.42465395664664
5,10,38293,10444,30,9213,0,1128,300,2.5855314703578
6,10,38293,10149,10,4853,0,2080,300,1.56698876991382
7,10,38293,9842,1,2212,0,2953,300,1.04465917994254
8,10,38293,9759,0,937,0,3225,300,0.966309741446853
9,10,38293,9731,0,367,0,3229,300,0.2872812744842
10,10,38293,9725,0,142,0,2997,300,0.2872812744842
15,10,38293,9255,0,2,0,1936,300,0.182815356489945
2,10,38293,11653,1577,25063,0,1,600,36.3019065030034
3,10,38293,9845,338,23519,0,1,600,24.6017236876469
4,10,38293,9032,81,15891,0,18,600,9.55863149647428
5,10,38293,8606,22,9431,0,52,600,4.17863671977018
6,10,38293,8242,7,4765,0,122,600,2.11543483938365
7,10,38293,7941,2,2220,0,173,600,0.65291198746409
8,10,38293,7818,0,959,0,232,600,0.130582397492818
9,10,38293,7767,0,416,0,214,600,0.182815356489945
10,10,38293,7760,0,138,0,165,600,0.104465917994254
15,10,38293,7170,0,2,0,37,600,0.0261164794985636
2,10,38293,10718,1591,25984,0,2,900,41.3685035257247
3,10,38293,8559,409,24368,0,0,900,28.9892922434056
4,10,38293,7714,86,16426,0,1,900,11.8829981718464
5,10,38293,7284,18,9713,0,13,900,5.43222773570123
6,10,38293,6869,9,4933,0,20,900,2.37659963436929
7,10,38293,6564,0,2311,0,34,900,0.966309741446853
8,10,38293,6469,0,941,0,37,900,0.36563071297989
9,10,38293,6323,0,418,0,30,900,0.130582397492818
10,10,38293,6328,0,144,0,25,900,0.104465917994254
