"qty_biological_replicates","proportion_of_DEGs","dispersion_class","before_preprocessing","after_preprocessing","percentage_of_reduction"
2,20,"Overdispersion",94.3749510354373,30.8202543545818,67
2,20,"Equidispersion",5.62504896456271,0.292481654610503,95
3,20,"Overdispersion",99.2792416368527,35.4320633013867,64
3,20,"Equidispersion",0.720758363147312,0.00261144334473664,100
4,20,"Overdispersion",99.8198104092132,37.4376517901444,62
4,20,"Equidispersion",0.180189590786828,0,100
5,20,"Overdispersion",99.9242681430026,34.4136003969394,66
5,20,"Equidispersion",0.0757318569973624,0,100
6,20,"Overdispersion",99.9686626798632,33.5309325464184,66
6,20,"Equidispersion",0.0313373201368396,0,100
7,20,"Overdispersion",99.9921656699658,32.9825294440237,67
7,20,"Equidispersion",0.00783433003420991,0,100
8,20,"Overdispersion",100,32.731830882929,67
8,20,"Equidispersion",0,0,NA
9,20,"Overdispersion",100,32.6587104692764,67
9,20,"Equidispersion",0,0,NA
10,20,"Overdispersion",100,32.2983312877027,68
10,20,"Equidispersion",0,0,NA
15,20,"Overdispersion",100,31.9875695296791,68
15,20,"Equidispersion",0,0,NA
2,20,"Overdispersion",94.7405531037004,28.9870211265767,69
2,20,"Equidispersion",5.25944689629958,0.143629383960515,97
3,20,"Overdispersion",99.0964406027211,36.2311649648761,63
3,20,"Equidispersion",0.903559397278876,0.00261144334473664,100
4,20,"Overdispersion",99.8067531924895,56.6630976940955,43
4,20,"Equidispersion",0.193246807510511,0,100
5,20,"Overdispersion",99.9190452563132,70.3209463870681,30
5,20,"Equidispersion",0.0809547436868357,0,100
6,20,"Overdispersion",99.9869427832763,80.3358316141331,20
6,20,"Equidispersion",0.0130572167236832,0,100
7,20,"Overdispersion",99.9973885566553,85.4229232496801,15
7,20,"Equidispersion",0.00261144334473664,0,100
8,20,"Overdispersion",99.9947771133105,88.0526466978299,12
8,20,"Equidispersion",0.00522288668947327,0,100
9,20,"Overdispersion",100,89.538557960985,10
9,20,"Equidispersion",0,0,NA
10,20,"Overdispersion",100,90.7137074661165,9
10,20,"Equidispersion",0,0,NA
15,20,"Overdispersion",100,94.2260987647873,6
15,20,"Equidispersion",0,0,NA
2,20,"Overdispersion",94.8450108374899,25.9185751965111,73
2,20,"Equidispersion",5.15498916251012,0.0678975269631525,99
3,20,"Overdispersion",98.978925652208,33.554435536521,66
3,20,"Equidispersion",1.02107434779202,0,100
4,20,"Overdispersion",99.7179641187684,54.9186535398115,45
4,20,"Equidispersion",0.282035881231557,0,100
5,20,"Overdispersion",99.9216566996579,72.5563418901627,27
5,20,"Equidispersion",0.0783433003420991,0,100
6,20,"Overdispersion",99.9869427832763,85.7258506776695,14
6,20,"Equidispersion",0.0130572167236832,0,100
7,20,"Overdispersion",99.9973885566553,93.1240696733084,7
7,20,"Equidispersion",0.00261144334473664,0,100
8,20,"Overdispersion",100,96.6547410753924,3
8,20,"Equidispersion",0,0,NA
9,20,"Overdispersion",100,98.443579766537,2
9,20,"Equidispersion",0,0,NA
10,20,"Overdispersion",100,99.0886062726869,1
10,20,"Equidispersion",0,0,NA
15,20,"Overdispersion",100,99.8798736061421,0
15,20,"Equidispersion",0,0,NA
