"qty_biological_replicates","dispersion_class","proportion_of_DEGs","before_preprocessing","after_preprocessing","percentage_of_reduction"
2,"Overdispersion",30,93.9701773170031,28.140913482882,70
2,"Equidispersion",30,6.02982268299689,0.24808711774998,96
3,"Overdispersion",30,99.2687958634737,32.9903637740579,67
3,"Equidispersion",30,0.731204136526258,0.00261144334473664,100
4,"Overdispersion",30,99.8302561825921,35.2153135037735,65
4,"Equidispersion",30,0.169743817407881,0,100
5,"Overdispersion",30,99.9268795863474,31.8073799388922,68
5,"Equidispersion",30,0.0731204136526258,0,100
6,"Overdispersion",30,99.9791084532421,31.026558378816,69
6,"Equidispersion",30,0.0208915467578931,0,100
7,"Overdispersion",30,99.9869427832763,30.4546522863186,70
7,"Equidispersion",30,0.0130572167236832,0,100
8,"Overdispersion",30,99.9947771133105,30.0080954743687,70
8,"Equidispersion",30,0.00522288668947327,0,100
9,"Overdispersion",30,100,29.9663123808529,70
9,"Equidispersion",30,0,0,NA
10,"Overdispersion",30,100,29.8252944402371,70
10,"Equidispersion",30,0,0,NA
15,"Overdispersion",30,100,29.1541535006398,71
15,"Equidispersion",30,0,0,NA
2,"Overdispersion",30,94.4741858825373,26.2789543780848,72
2,"Equidispersion",30,5.52581411746272,0.130572167236832,98
3,"Overdispersion",30,99.0938291593764,33.9409291515421,66
3,"Equidispersion",30,0.906170840623613,0.00261144334473664,100
4,"Overdispersion",30,99.7362442221816,54.5008226046536,45
4,"Equidispersion",30,0.2637557778184,0,100
5,"Overdispersion",30,99.8981537095553,69.1928028621419,31
5,"Equidispersion",30,0.101846290444729,0,100
6,"Overdispersion",30,99.9764970098974,79.1580706656569,21
6,"Equidispersion",30,0.0235029901026297,0,100
7,"Overdispersion",30,99.9895542266211,85.1330530384143,15
7,"Equidispersion",30,0.0104457733789465,0,100
8,"Overdispersion",30,100,87.4781291619878,13
8,"Equidispersion",30,0,0,NA
9,"Overdispersion",30,100,89.3426997101298,11
9,"Equidispersion",30,0,0,NA
10,"Overdispersion",30,100,90.2253675606508,10
10,"Equidispersion",30,0,0,NA
15,"Overdispersion",30,100,93.9310056668321,6
15,"Equidispersion",30,0,0,NA
2,"Overdispersion",30,94.7327187736662,23.1295537043324,76
2,"Equidispersion",30,5.26728122633379,0.0705089703078892,99
3,"Overdispersion",30,98.9658684354843,31.3503773535633,68
3,"Equidispersion",30,1.03413156451571,0,100
4,"Overdispersion",30,99.7231870054579,53.8375159950905,46
4,"Equidispersion",30,0.276812994542083,0,100
5,"Overdispersion",30,99.9373253597263,72.1123965215575,28
5,"Equidispersion",30,0.0626746402736793,0,100
6,"Overdispersion",30,99.9843313399316,85.3184655158906,15
6,"Equidispersion",30,0.0156686600684198,0,100
7,"Overdispersion",30,99.9947771133105,92.9464915258663,7
7,"Equidispersion",30,0.00522288668947327,0,100
8,"Overdispersion",30,99.9973885566553,96.628626641945,3
